,ABRUZZO,BASILICATA,CALABRIA,CAMPANIA,EMILIA ROMAGNA,FRIULI-VENEZIA GIULIA,LAZIO,LIGURIA,LOMBARDIA,MARCHE,MOLISE,PIEMONTE,PUGLIA,SARDEGNA,TOSCANA,UMBRIA,VENETO,Totale complessivo
Giugno_2023,12.022,22.513,51.515,1.064.825,73.115,133.870,2.784.380,21.310,173.670,39.145,10.446,167.962,59.430,58.265,852.856,41.054,84.425,5.650.803
Luglio_2023,15.971,21.819,49.994,971.987,57.937,146.909,2.180.547,20.602,170.926,43.251,10.697,155.587,40.634,63.673,790.283,24.576,69.926,4.835.319
Agosto_2023,41.187,31.465,109.087,1.048.663,75.750,176.610,2.303.076,26.674,191.955,68.690,24.767,200.000,67.433,91.006,835.719,38.330,79.371,5.409.783
Settembre_2023,17.885,21.200,52.670,1.006.827,82.807,136.220,2.292.221,20.608,171.215,40.631,10.295,153.778,59.749,78.214,834.476,27.904,83.906,5.090.606
Ottobre_2023,10.695,26.337,34.915,1.067.502,92.055,114.822,2.250.960,22.286,171.497,32.406,7.246,202.804,57.796,43.815,789.330,22.606,97.297,5.044.369
Novembre_2023,8.023,12.118,21.591,491.292,70.167,59.816,1.635.620,13.274,131.712,25.189,3.594,185.381,30.379,13.432,504.682,16.422,70.109,3.292.801
Dicembre_2023,13.068,12.606,19.994,492.049,67.789,71.696,1.634.466,11.703,121.557,29.102,5.867,204.096,23.650,10.187,494.588,16.987,60.342,3.289.747
Totale_regione_2023,188.504,245.766,523.007,10.420.542,1.032.475,1.435.784,27.421.975,271.138,2.006.175,498.394,112.070,2.419.967,631.252,507.795,8.640.602,364.588,1.010.468,57.730.502
Gennaio_2024,10.668,7.346,15.533,431.360,50.583,71.563,1.944.284,13.575,120.250,25.134,2.815,199.093,17.594,10.001,422.136,13.675,57.424,3.413.034
Febbraio_2024,11.082,6.289,18.079,507.614,56.553,85.845,2.015.386,9.652,130.247,25.897,3.827,187.155,19.552,10.632,535.587,12.679,79.179,3.715.255
Marzo_2024,15.053,15.984,36.148,862.502,106.110,132.305,2.518.135,18.920,196.060,58.727,7.833,260.270,48.579,18.721,750.214,25.694,99.773,5.171.028
Aprile_2024,23.346,33.197,62.103,1.376.008,154.053,181.900,3.562.827,28.685,251.354,80.417,13.137,360.566,107.408,50.571,1.023.363,43.551,129.998,7.482.484
Maggio_2024,19.330,25.506,63.089,1.273.172,125.419,167.130,2.931.994,29.739,242.716,66.842,10.704,258.036,113.399,77.310,1.062.599,32.943,116.084,6.616.012
Giugno_2024,11.385,16.121,44.682,995.972,72.049,132.765,2.704.357,18.119,200.000,41.220,8.124,156.862,52.041,72.726,876.510,24.697,85.559,5.513.189
Luglio_2024,16.566,17.679,62.938,852.795,54.790,145.453,2.524.116,19.264,205.122,48.040,7.819,134.583,41.732,71.402,841.209,40.733,72.956,5.157.197
Agosto_2024,34.554,29.357,132.936,910.754,72.168,178.648,2.452.205,22.399,192.496,67.760,17.281,201.694,63.457,84.217,828.578,50.120,79.710,5.418.334
Settembre_2024,15.516,23.551,63.958,976.910,79.265,137.173,2.698.479,20.127,184.979,49.169,9.051,169.518,65.220,84.734,833.872,37.680,90.779,5.539.981
Ottobre_2024,12.280,24.039,40.670,1.079.998,73.088,126.379,2.741.673,17.168,186.734,34.493,5.855,191.800,67.078,53.350,801.097,24.263,98.371,5.578.336
Novembre_2024,13.003,20.862,23.540,565.180,70.091,90.672,1.886.847,13.539,143.122,30.460,5.269,225.665,35.012,14.995,577.729,23.131,70.311,3.809.428
Dicembre_2024,9.318,11.216,20.307,456.209,53.000,93.956,1.748.928,11.233,126.851,27.816,3.020,212.946,22.961,9.579,554.001,19.163,55.309,3.435.813
Totale_regione_2024,192.101,231.147,583.983,10.288.474,967.169,1.543.789,29.729.231,222.420,2.179.931,555.975,94.735,2.558.188,654.033,558.238,9.106.895,348.329,1.035.453,60.850.091
